aroon_len,atr_len,atr_mult,stop_loss_pct,avg_return_pct,avg_sharpe,avg_max_drawdown,total_trades,avg_win_rate,avg_rr_ratio,avg_profit_factor,avg_trade_pnl,avg_expectancy,stock_win_rate,stocks_tested,winning_stocks,composite_score
14,10,3.0,0.03,9.746223913408118,-0.7584311683057886,19.640240448905544,588,24.644444444444442,2.4903849253482444,1.4455102219636202,143.54911319430192,58.5087614034062,50.0,100,50,0.0
14,10,3.0,0.05,7.624674351905427,-0.649935408459845,21.599337255149518,544,26.875,1.9378635223580671,1.2204550267651495,98.65513894436596,-5.09181643782745,49.0,100,49,0.0
14,10,3.0,0.08,8.752962152194153,-0.07112831600337048,22.30388255270641,509,30.041666666666664,1.6952993249394301,1.1667453083573323,129.66778649490232,-7.211096064469298,48.0,100,48,0.0
14,10,3.0,0.1,8.102666936510062,-0.15417542401154247,22.510315662284412,503,30.48333333333333,1.6021194561501944,1.1729596269662423,114.3819208965728,-25.767891505661115,47.0,100,47,0.0
14,10,3.0,0.15,7.195824471184284,-0.2926469483794358,23.35695528841795,501,30.288095238095238,1.5171650945773538,1.1327870118912147,95.0542525204938,-67.65318544643117,45.0,100,45,0.0
14,10,3.5,0.03,10.51785332287426,-0.6897200154655332,19.953462578229388,553,22.634920634920636,2.401372771231911,1.3370750938366236,54.9623891986873,-1.7935702329579544,51.0,100,51,0.0
14,10,3.5,0.05,8.94452840691896,0.2828451260856644,21.763125533883922,501,25.575,1.8223431349297032,1.1046150215708876,11.009979535432551,-75.58536621237175,50.0,100,50,0.05812391839335917
14,10,3.5,0.08,9.927181568933104,-0.19748726085841437,22.521315351066406,460,29.06547619047619,1.7176155805651914,1.328454668823249,40.260441539298874,-89.81150932589729,50.0,100,50,0.0
14,10,3.5,0.1,9.533387044287783,0.1308875959154785,22.70679367252413,450,29.684523809523807,1.666683086298015,1.3656774689648064,28.08399026676992,-115.19149248248974,50.0,100,50,0.02747640484064629
14,10,3.5,0.15,8.199481357302291,0.1424610126032498,23.866474105627297,442,29.972619047619045,1.5412835364881774,1.2772505778447794,-5.629991444317487,-174.24795197178653,50.0,100,50,0.0244717005916541
14,14,3.0,0.03,10.334525774476843,-0.7934642589557683,19.583093607968646,584,24.199206349206346,2.5367389296259266,1.4514169918058033,191.20159939065343,81.03257844447693,50.0,100,50,0.0
14,14,3.0,0.05,8.503687653287697,-0.05042956318043079,21.451996132155617,535,26.634523809523806,1.9360583080806513,1.2393615038903203,149.18339101498393,18.46399492083527,49.0,100,49,0.0
14,14,3.0,0.08,9.488935896371864,0.051192650088486544,22.251456533448955,503,29.697619047619046,1.740550875625206,1.2687472737430245,172.71291219765047,8.784811429586801,50.0,100,50,0.010915325347912208
14,14,3.0,0.1,8.888183925769715,-0.1770593225717202,22.447621255716395,496,30.163095238095238,1.6490479361217836,1.2730462807412615,157.29841203998814,-10.205271652808777,48.0,100,48,0.0
14,14,3.0,0.15,8.38129939776709,-0.13704808290269702,23.292113469628795,490,30.267857142857142,1.581721831689738,1.237530226871434,144.6863764591268,-45.46426223932608,48.0,100,48,0.0
14,14,3.5,0.03,10.69962386810298,-0.6605232428964833,19.793438845389712,553,22.825396825396822,2.4078674374207747,1.3573515139383536,55.26863658357242,-1.1666927214860088,52.0,100,52,0.0
14,14,3.5,0.05,8.930410384725638,0.07186103288654984,21.704096743640626,502,25.698809523809523,1.7917389806797752,1.1112468972689715,7.312981451669141,-77.77801865011361,50.0,100,50,0.014784041048268682
14,14,3.5,0.08,9.80009246804923,-0.32457419820950273,22.48591629643196,459,29.455952380952382,1.643248627183628,1.2506807953006016,33.306602326507495,-94.00631519084111,50.0,100,50,0.0
14,14,3.5,0.1,9.17216073306323,-0.21992990100375898,22.78737481456702,448,30.21785714285714,1.6856616880803643,1.4485735937663653,17.62699816590155,-126.07780567370351,47.0,100,47,0.0
14,14,3.5,0.15,7.777116934243296,-0.21963971630168616,24.003984555677622,440,30.43928571428571,1.5592435668955928,1.3667899326616568,-16.261966639109694,-188.42227774997784,47.0,100,47,0.0
14,20,3.0,0.03,10.253032017659516,-0.7418092111969353,19.527047631079817,573,24.64484126984127,2.546907709874402,1.5340867379036864,224.4548395583735,107.58105357296037,53.0,100,53,0.0
14,20,3.0,0.05,8.676838935511205,-0.051140663712789865,21.446361888858817,527,27.276984126984125,1.9305982357271325,1.3144454725891372,187.86103189682763,44.30244867279473,49.0,100,49,0.0
14,20,3.0,0.08,9.953945939189557,0.16465836275797355,22.150569343636377,489,29.93690476190476,2.0794374017361825,2.027233823684806,215.97575498602265,38.255840310275886,50.0,100,50,0.036996801660071084
14,20,3.0,0.1,9.15721554968031,0.3623868745151268,22.50008549386148,484,30.367857142857144,1.980634249401446,2.019627537595626,197.39838365968,17.005172389985155,49.0,100,49,0.07226829490827952
14,20,3.0,0.15,8.746154356466514,-0.06025707187190826,23.20356866417283,477,30.47738095238095,1.918919550590861,1.9891745477030949,187.3757012752258,-14.858174283523903,48.0,100,48,0.0
14,20,3.5,0.03,10.881922443235721,-0.4246441772421566,19.595543740026375,538,22.736111111111107,2.3083817669063005,1.4246530433220732,67.23418722298227,8.451529935273722,52.0,100,52,0.0
14,20,3.5,0.05,9.288817580600524,-0.08515052300015266,21.500789128641777,489,25.570238095238093,1.7204233061736856,1.2092225275926471,26.402286669882972,-72.67490933211958,51.0,100,51,0.0
14,20,3.5,0.08,10.360631911867609,-0.17977102669338776,22.366493223269455,445,29.070238095238093,1.5260841400667748,1.3050541564325056,60.01585044561914,-94.85699177036192,51.0,100,51,0.0
14,20,3.5,0.1,9.3729289786853,-0.3973261742762279,22.67667892343262,432,30.034523809523808,1.4492602503922305,1.3216559009990023,34.227843603635854,-130.92663710901087,49.0,100,49,0.0
14,20,3.5,0.15,8.171927258367397,-0.42981886459765817,23.72838775928811,422,30.025,1.3386391877138601,1.2145056592119046,-10.714836790495049,-208.47710495629312,50.0,100,50,0.0
20,10,3.0,0.03,6.749327054252304,-3.631518486263796,17.55460999157332,452,25.075,2.2545018271834305,1.531484641154195,109.78678654572626,56.58672267155861,52.0,100,52,0.0
20,10,3.0,0.05,6.225602125401895,0.1834595998041737,19.11331494841154,421,29.69642857142857,1.7613845322612023,1.2958583477377135,102.88014901364494,11.823510165902508,48.0,100,48,0.028683161933108818
20,10,3.0,0.08,8.66765300606949,-0.03777836263178219,19.804909143277797,404,32.48095238095238,1.4483691970610635,1.0464123936878615,172.0282483770006,46.23089928695415,53.0,100,53,0.0
20,10,3.0,0.1,8.83989504387952,0.16764934016094998,19.857292953287654,392,33.67857142857142,1.3049201492960167,0.9383505148867134,183.47147145780175,49.75861205961759,54.0,100,54,0.040301635793446214
20,10,3.0,0.15,9.313089809395018,0.17452417651284566,19.97880687456387,386,34.161904761904765,1.2596468202018154,0.9533980314333835,189.02145935820963,39.60043188752272,55.00000000000001,100,55,0.044744795672172835
20,10,3.5,0.03,8.251728559709978,-0.49577031875909816,17.467062154606314,426,24.303571428571427,2.2212698334004735,1.4108965950460597,98.67261807889484,50.78264237447539,53.0,100,53,0.0
20,10,3.5,0.05,7.807347801015448,-0.6600569254514009,18.979334276215933,389,28.07738095238095,1.6562749591879402,1.1349591513439408,84.26512685358946,-5.766653362866946,48.0,100,48,0.0
20,10,3.5,0.08,10.030194593446582,-1.9451145164153631,19.927362915392546,371,29.81904761904762,1.3865733696173879,1.0580866408215932,110.25061158525476,-4.167832409811241,50.0,100,50,0.0
20,10,3.5,0.1,10.546702197997087,-1.564157129718655,20.079192130374505,356,31.166666666666664,1.2552300779984829,0.9154040814443966,152.911502062113,10.34940627887243,51.0,100,51,0.0
20,10,3.5,0.15,11.304523767112642,-1.5192285836302588,20.36805862869469,346,31.95,1.1691828405627702,0.8979731291361095,175.46668723812888,1.8791800477567333,53.0,100,53,0.0
20,14,3.0,0.03,7.548917877898389,-3.606773579515076,17.337046240863575,448,25.10833333333333,2.2198208709205094,1.4144297275501299,143.69314337069963,80.75442881846122,53.0,100,53,0.0
20,14,3.0,0.05,7.02875730972582,0.4563468268910703,18.870810868742268,415,29.92023809523809,1.6552735791848654,1.3447044229969134,135.27751180275584,41.636219155205154,48.0,100,48,0.08158761891281657
20,14,3.0,0.08,9.54184019322598,-0.456527640286094,19.587914593137512,397,32.52142857142857,1.3801347927118979,1.0536074204716066,232.67285141656598,86.1020467719238,52.0,100,52,0.0
20,14,3.0,0.1,9.616887981807743,-0.26149330674078447,19.70071020910734,386,33.71904761904762,1.2426435086071967,0.9515110129199128,239.99799982459368,85.55671806780396,53.0,100,53,0.0
20,14,3.0,0.15,10.124930579708085,-0.23611252798927718,19.823632011589254,380,34.20238095238095,1.1977161318182414,0.9655665914878204,245.37278879587294,75.2462064504796,54.0,100,54,0.0
20,14,3.5,0.03,8.372473073693925,-0.39975956647835104,17.47470419456705,424,24.154761904761905,2.301512329367709,1.4489984340753517,106.50442340205653,58.76402224830076,53.0,100,53,0.0
20,14,3.5,0.05,7.649307209779952,-0.2533663251723771,19.075173558085456,388,27.678571428571427,1.657116101428034,1.1317902014870613,93.04406253076206,5.041006499530584,47.0,100,47,0.0
20,14,3.5,0.08,9.874788160788434,-1.8138563760249593,20.03772015191556,369,29.485714285714284,1.3819458064558945,1.0444632023239948,117.60925416097253,5.503544588952886,50.0,100,50,0.0
20,14,3.5,0.1,10.329966118938366,-1.432145532188187,20.236080567686304,356,30.33333333333333,1.3655108239758604,1.0150865801840496,138.5478373270589,11.72508557334246,52.0,100,52,0.0
20,14,3.5,0.15,11.014821964127185,-1.300339938934616,20.46254743149232,344,31.216666666666665,1.2573045311447455,0.9946175430002526,153.45402092219885,-7.370146113527924,53.0,100,53,0.0
20,20,3.0,0.03,7.363172553951087,-3.5213990298122764,17.36118211705834,447,26.26309523809524,3.5260205255013815,4.134383753730575,206.84336090441138,119.91922687018008,52.0,100,52,0.0
20,20,3.0,0.05,6.732022271276999,0.40157779530725846,18.90557533299402,418,30.89404761904762,2.9581206275947802,4.04083753750708,192.7062207640282,77.27015380382532,49.0,100,49,0.07006827355848663
20,20,3.0,0.08,9.453232191117733,-0.5391537859937439,19.558746784637446,396,33.71904761904762,2.6644482121038164,3.730613999552621,295.41116322236763,123.78364579972342,53.0,100,53,0.0
20,20,3.0,0.1,9.613709519143946,-0.5285398553828775,19.741722392871566,387,34.83571428571428,2.531001442370509,3.629043791475943,304.3427082712001,123.11355397837794,53.0,100,53,0.0
20,20,3.0,0.15,10.0603239426701,-0.5340324542149897,19.90099512512322,382,35.21904761904762,2.4894478318934823,3.6427115405296444,309.3477853279651,113.1640617546182,54.0,100,54,0.0
20,20,3.5,0.03,8.169132847965667,-0.3862797453546942,17.499461485048133,424,24.540476190476188,2.1253757553399812,1.4379486911395694,99.97429684466013,48.43095543419829,53.0,100,53,0.0
20,20,3.5,0.05,7.398292520687955,-0.24216417936664772,19.162571721991124,386,27.945238095238093,1.5095308082118022,1.1185945644771988,93.38314005057437,-0.9705666236942289,47.0,100,47,0.0
20,20,3.5,0.08,9.429718951721023,-0.7026749095244607,20.230693935435767,366,30.10238095238095,1.4206416726909157,1.1963605639940391,116.27811093329093,-2.3790861468852587,50.0,100,50,0.0
20,20,3.5,0.1,9.99983717820164,-1.4464874111647712,20.40810397757882,354,30.935714285714283,1.4129362965388343,1.1779163175654868,142.2078350786989,2.714671593839211,51.0,100,51,0.0
20,20,3.5,0.15,10.403865885934442,-1.2490576859333715,20.648815521081794,345,31.56904761904762,1.497068204827595,1.3721465039968397,152.40418448318468,-20.32093720012186,52.0,100,52,0.0
25,10,3.0,0.03,4.466504645343469,-0.7980333545415901,14.740259845877342,360,25.216666666666665,2.0607735437917816,1.6295085573703147,63.550603738189636,35.26071150695813,45.0,100,45,0.0
25,10,3.0,0.05,4.695685375611795,-1.0557718016463733,16.411728816757744,343,28.466666666666665,1.350339346989752,1.1095603598262114,68.91144865164273,9.398790557144332,45.0,100,45,0.0
25,10,3.0,0.08,6.228801560978587,-0.8335724004653771,17.374751268979015,336,30.28333333333333,1.0508985829250264,0.8551056862879328,123.74691198531859,16.918421425249853,46.0,100,46,0.0
25,10,3.0,0.1,6.257822158674742,-0.8513483979211618,17.81409097523017,331,31.38333333333333,0.9804233310445176,0.8106599897774366,116.58660855485803,5.795412381532519,47.0,100,47,0.0
25,10,3.0,0.15,7.532077107697097,-0.848467902634062,18.046572245020304,326,31.8,0.967653657316586,0.8152804014622734,154.1241994318765,33.36427614609457,48.0,100,48,0.0
25,10,3.5,0.03,6.485911280761443,-0.711210502754823,14.936551770318852,343,23.8,2.0117350224332187,1.7064748692044942,66.28158401097888,32.29832619000672,48.0,100,48,0.0
25,10,3.5,0.05,6.328362583824858,-0.20229890439285841,16.743465182754587,324,26.55,1.3165472464535486,1.1918698965428514,61.143170565177186,-10.706534728418328,47.0,100,47,0.0
25,10,3.5,0.08,7.9703867325395406,-0.3404205988187281,17.871260791244154,310,28.416666666666664,0.7727012689271174,0.6533116693832319,127.28837176196163,-19.761770237230188,49.0,100,49,0.0
25,10,3.5,0.1,7.941847870133207,-0.37355186823003644,18.40740531799829,302,29.266666666666666,0.7194156947134401,0.5983835901636899,120.52649936403166,-39.685888624237734,52.0,100,52,0.0
25,10,3.5,0.15,9.463073314198931,-0.22234823306376442,18.53752453072043,293,30.18333333333333,0.6915549710320009,0.5867925729684489,173.21032337307398,-8.81510025510619,53.0,100,53,0.0
25,14,3.0,0.03,5.0338820249993965,-0.8074107758966714,14.617186608760454,359,25.55,1.944436299752822,1.5784270994770935,94.4186602840821,66.16517905286412,46.0,100,46,0.0
25,14,3.0,0.05,5.145488751305387,-1.0644273696676507,16.274242509421427,341,28.55,1.2969297418862837,1.1873374771850307,97.79161498525777,35.15949068557652,45.0,100,45,0.0
25,14,3.0,0.08,6.764904142211195,-0.9196087799659416,17.22843062259553,333,30.0,1.0286104594450496,0.9138172766452719,180.72388268072896,54.08291829517273,47.0,100,47,0.0
25,14,3.0,0.1,6.879774132449601,-0.9213773607880595,17.614451768186868,328,31.1,0.9837631678158167,0.8821905067910605,176.16629895062985,45.83531140280179,48.0,100,48,0.0
25,14,3.0,0.15,8.232048847707974,-0.9134726285236491,17.783725705968966,322,31.516666666666666,0.9714844853573738,0.8870614984443539,213.09992481225362,72.83065126957484,49.0,100,49,0.0
25,14,3.5,0.03,6.382217594946863,-0.654988003985803,15.029158413474418,342,23.5,1.9823043620433418,1.6870952797832468,79.15439970422865,47.60797029148242,47.0,100,47,0.0
25,14,3.5,0.05,6.25716207132408,-0.30809748234189005,16.802165125526468,323,26.25,1.3349995892078204,1.2070136979076405,75.00351981629288,6.196019242187444,45.0,100,45,0.0
25,14,3.5,0.08,7.98799664501064,-0.3663388806913167,17.884896251099313,309,27.63333333333333,0.8109261377603031,0.6896184223494479,143.67839268004923,-0.34596630165155445,47.0,100,47,0.0
25,14,3.5,0.1,8.00098840052187,-0.3040842289995869,18.411078518038128,302,28.43333333333333,0.7923974710586542,0.6706506285071014,140.01345999911538,-15.827676941574028,50.0,100,50,0.0
25,14,3.5,0.15,9.202717468183252,-0.2761786862935691,18.6339253599576,295,29.18333333333333,0.81922430874422,0.7138478256852158,174.40983766998593,4.1683671982864325,51.0,100,51,0.0
25,20,3.0,0.03,5.292396912408083,-1.103066690103689,14.559166292318691,357,26.1,2.044665977168913,1.817585141222598,114.10231721234737,83.3204354384512,45.0,100,45,0.0
25,20,3.0,0.05,5.336430456768299,-0.7645966911254902,16.27502532807219,339,29.066666666666666,1.3496738119892797,1.371210627812694,115.55824521158227,50.62142635980335,46.0,100,46,0.0
25,20,3.0,0.08,6.93890264054577,-0.7197196013465254,17.323824817814376,332,30.516666666666666,0.9787167755361491,0.8034868515504724,204.11840209543715,69.43062102270302,49.0,100,49,0.0
25,20,3.0,0.1,6.997978296187822,-0.5846695051060056,17.755418858590208,328,31.566666666666666,0.9363800977002091,0.7712729589046274,199.81549494305622,62.10741257479024,50.0,100,50,0.0
25,20,3.0,0.15,8.295445934042366,-0.5740382701930531,17.934046948991533,322,31.98333333333333,0.9239534325207382,0.7751566467252233,234.23519887637437,86.58560281936467,50.0,100,50,0.0
25,20,3.5,0.03,5.92927552787589,-0.6893350162697112,15.08952999525706,342,23.8,1.7439095263874058,1.6002716713709881,50.38353009126506,19.65348957408261,47.0,100,47,0.0
25,20,3.5,0.05,5.785445408958635,-0.2885192315406313,16.89677021140701,324,26.566666666666666,1.1244976182142299,1.1269945750406956,43.05095410139392,-24.852415982667885,45.0,100,45,0.0
25,20,3.5,0.08,7.498090597284459,-0.4317143541764123,18.031052468893645,309,28.65,0.8053477324039149,0.7092419121033999,89.47361951058942,-30.19087875633345,47.0,100,47,0.0
25,20,3.5,0.1,7.4221089154374855,-0.39577350810339007,18.601330107909952,302,29.2,0.8384595054610727,0.7462421680659843,81.56701051904848,-48.72341453123431,49.0,100,49,0.0
